"信用卡流通統計-月 依 期間, 指標 與 種類"

" ","流通卡數(千張)"," "
" ","原始值"," 年增率(%)"
"2004M01",38162,18.57
"2004M02",38313,16.59
"2004M03",38560,16.45
"2004M04",39021,16.39
"2004M05",39404,15.52
"2004M06",40610,17.47
"2004M07",41147,17.49
"2004M08",41694,17.40
"2004M09",42308,17.27
"2004M10",42949,17.26
"2004M11",43526,16.61
"2004M12",44182,16.73
"2005M01",44511,16.64
"2005M02",44611,16.44
"2005M03",44752,16.06
"2005M04",44924,15.13
"2005M05",45147,14.57
"2005M06",45385,11.76
"2005M07",45473,10.51
"2005M08",45657,9.50
"2005M09",45794,8.24
"2005M10",45741,6.50
"2005M11",45586,4.73
"2005M12",45494,2.97
"2006M01",45112,1.35
"2006M02",44477,-0.30
"2006M03",43675,-2.41
"2006M04",42797,-4.73
"2006M05",41951,-7.08
"2006M06",41116,-9.41
"2006M07",40336,-11.30
"2006M08",39919,-12.57
"2006M09",39470,-13.81
"2006M10",38996,-14.75
"2006M11",38644,-15.23
"2006M12",38324,-15.76
"2007M01",37967,-15.84
"2007M02",37675,-15.29
"2007M03",37388,-14.39
"2007M04",37206,-13.06
"2007M05",36988,-11.83
"2007M06",36792,-10.52
"2007M07",36631,-9.19
"2007M08",36584,-8.35
"2007M09",36500,-7.52
"2007M10",36405,-6.64
"2007M11",36388,-5.84
"2007M12",36437,-4.92
"2008M01",36163,-4.75
"2008M02",35988,-4.48
"2008M03",35947,-3.85
"2008M04",35723,-3.99
"2008M05",35576,-3.82
"2008M06",35446,-3.66
"2008M07",35159,-4.02
"2008M08",35096,-4.07
"2008M09",34911,-4.35
"2008M10",34707,-4.66
"2008M11",34240,-5.90
"2008M12",33950,-6.83
"2009M01",33364,-7.74
"2009M02",32931,-8.49
"2009M03",32604,-9.30
"2009M04",32365,-9.40
"2009M05",32221,-9.43
"2009M06",31862,-10.11
"2009M07",31671,-9.92
"2009M08",31530,-10.16
"2009M09",31242,-10.51
"2009M10",30967,-10.78
"2009M11",30712,-10.30
"2009M12",30567,-9.96
"2010M01",30387,-8.92
"2010M02",30243,-8.16
"2010M03",30116,-7.63
"2010M04",30084,-7.05
"2010M05",30116,-6.53
"2010M06",30116,-5.48
"2010M07",30164,-4.76
"2010M08",30247,-4.07
"2010M09",30355,-2.84
"2010M10",30471,-1.60
"2010M11",30585,-0.41
"2010M12",30706,0.45
"2011M01",30769,1.26
"2011M02",30874,2.09
"2011M03",31091,3.24
"2011M04",31389,4.34
"2011M05",31586,4.88
"2011M06",31948,6.08
"2011M07",32251,6.92
"2011M08",32161,6.33
"2011M09",32278,6.34
"2011M10",32910,8.00
"2011M11",32784,7.19
"2011M12",32855,7.00
"2012M01",32819,6.66
"2012M02",32840,6.37
"2012M03",32974,6.06
"2012M04",33034,5.24
"2012M05",33191,5.08
"2012M06",33221,3.98
"2012M07",33380,3.50
"2012M08",33524,4.24
"2012M09",33668,4.31
"2012M10",33825,2.78
"2012M11",33987,3.67
"2012M12",34076,3.72
"2013M01",34122,3.97
"2013M02",34177,4.07
"2013M03",34329,4.11
"2013M04",34489,4.40
"2013M05",34624,4.32
"2013M06",34689,4.42
"2013M07",34802,4.26
"2013M08",35163,4.89
"2013M09",35753,6.19
"2013M10",36296,7.31
"2013M11",36728,8.06
"2013M12",35946,5.49
"2014M01",36122,5.86
"2014M02",36176,5.85
"2014M03",36304,5.75
"2014M04",36463,5.72
"2014M05",36628,5.79
"2014M06",36765,5.98
"2014M07",36886,5.99
"2014M08",37038,5.33
"2014M09",37116,3.81
"2014M10",37189,2.46
"2014M11",37297,1.55
"2014M12",37389,4.01
"2015M01",37552,3.96
"2015M02",37596,3.93
"2015M03",37709,3.87
"2015M04",37837,3.77
"2015M05",37942,3.59
"2015M06",38054,3.51
"2015M07",38097,3.28
"2015M08",38241,3.25
"2015M09",38319,3.24
"2015M10",38406,3.27
"2015M11",38514,3.26
"2015M12",38518,3.02
"2016M01",38553,2.67
"2016M02",38589,2.64
"2016M03",38786,2.86
"2016M04",39036,3.17
"2016M05",39228,3.39
"2016M06",39422,3.59
"2016M07",39602,3.95
"2016M08",39642,3.66
"2016M09",39947,4.25
"2016M10",40410,5.22
"2016M11",40601,5.42
"2016M12",40702,5.67
"2017M01",40485,5.01
"2017M02",40519,5.00
"2017M03",40621,4.73
"2017M04",40723,4.32
"2017M05",40970,4.44
"2017M06",41118,4.30
"2017M07",41218,4.08
"2017M08",41266,4.10
"2017M09",41405,3.65
"2017M10",41507,2.71
"2017M11",41673,2.64
"2017M12",41730,2.53
"2018M01",41870,3.42
"2018M02",41935,3.49
"2018M03",42117,3.68
"2018M04",42266,3.79
"2018M05",42427,3.56
"2018M06",42609,3.63
"2018M07",42873,4.02
"2018M08",43251,4.81
"2018M09",43421,4.87
"2018M10",43709,5.31
"2018M11",43861,5.25
"2018M12",44031,5.51
"2019M01",44108,5.35
"2019M02",44281,5.59
"2019M03",44564,5.81
"2019M04",44841,6.09
"2019M05",45189,6.51
"2019M06",45316,6.35
"2019M07",45624,6.42

"*年增率係以所取得資料之原始精確位數進行計算，與資料發布機關公布之結果-"
"容或有尾差。 "
"(http://win.dgbas.gov.tw/dgbas03/bs7/calendar/MetaQry.asp?QM=0&MetaId-"
"=822) more "
"1.2004年6月以前為財團法人聯合信用卡處理中心及各發卡機構。 "
"2.2004年6月以後係由各發卡機構透過Web申報。 "
" "
" "
" "

